0	"federated"	rdfs:member	"federated query"
14	"highly flexible"	rdfs:member	"highly flexible benchmark"
14	"flexible benchmark suite"	rdfs:subClassOf	"benchmark suite"
14	"accommodate"	vn.role:Theme	"flexible benchmark suite"
14	"use cases"	rdfs:subClassOf	"cases"
14	"use"	rdfs:member	"use cases"
14	"variety of use cases"	local:of_usecases	"variety"
14	"variety of use cases"	local:variety_of	"use cases"
14	"accommodate"	vn.role:Location	"variety of use cases"
15	"elaborate"	vn.role:Agent	"we"
15	"query sets"	rdfs:subClassOf	"sets"
15	"query"	rdfs:member	"query sets"
15	"choice of query sets"	local:of_querysets	"choice"
15	"choice of query sets"	local:choice_of	"query sets"
15	"elaborate"	vn.role:Topic	"choice of query sets"
16	"elaborate"	vn.role:Agent	"we"
16	"choice of data"	local:of_data	"choice"
16	"choice of data"	local:choice_of	"data"
16	"elaborate"	vn.role:Topic	"choice of data"
17	"discuss"	vn.role:Patient1	"we"
17	"design decisions"	rdfs:subClassOf	"decisions"
17	"design"	rdfs:member	"design decisions"
17	"flexibility in customization"	local:in_customization	"flexibility"
17	"flexibility in customization"	local:flexibility_in	"customization"
17	"discuss"	vn.role:Patient2	"highlight"
17	"design decisions"	rdfs:subClassOf	"decisions"
17	"design"	rdfs:member	"design decisions"
17	"highlight"	vn.role:Agent	"design decisions"
17	"flexibility in customization"	local:in_customization	"flexibility"
17	"flexibility in customization"	local:flexibility_in	"customization"
17	"highlight"	vn.role:Theme	"flexibility in customization"
18	"indicate"	vn.role:Recipient	"we"
18	"indicate"	vn.role:Cause	"benefits"
19	"demonstrated"	vn.role:Cause	"practicability"
19	"application"	rdfs:member	"application scenarios"
19	"various application scenarios"	rdfs:subClassOf	"scenarios"
19	"rigorous"	rdfs:member	"rigorous evaluation"
19	"rigorous evaluation"	rdfs:subClassOf	"evaluation"
19	"various application"	rdfs:subClassOf	"application"
19	"various"	rdfs:member	"various application"
19	"application scenarios"	rdfs:subClassOf	"scenarios"
19	"various application"	rdfs:member	"various application scenarios"
19	"various application scenarios"	rdfs:subClassOf	"application scenarios"
19	"rigorous evaluation of various application scenarios"	local:of_variousapplicationscenarios	"rigorous evaluation"
19	"rigorous evaluation of various application scenarios"	local:rigorousevaluation_of	"various application scenarios"
19	"demonstrated"	vn.role:Recipient	"rigorous evaluation of various application scenarios"
